,Employee_No,Type_Full Day,Type_Half Day,apply_type_Anual,apply_type_Casual
0,347,4.666666666666667,3.6666666666666665,4.0,4.333333333333333
1,348,8.0,5.0,5.0,8.0
2,351,7.0,3.0,0.0,10.0
3,356,10.0,3.0,0.0,13.0
4,373,14.0,10.0,16.0,8.0
5,376,1.0,4.0,0.0,5.0
6,393,5.0,2.0,6.0,1.0
7,421,19.0,4.0,16.0,7.0
8,423,20.0,6.0,17.0,9.0
9,425,10.0,7.0,11.0,6.0
10,437,5.0,5.0,10.0,0.0
11,440,9.5,4.5,8.0,6.0
12,481,0.0,0.0,0.0,0.0
13,516,11.0,7.0,5.5,12.5
14,517,8.666666666666666,6.333333333333333,12.0,3.0
15,545,3.5,2.5,0.5,5.5
16,547,16.0,12.0,26.0,2.0
17,550,5.0,4.0,0.0,9.0
18,551,9.0,6.0,10.0,5.0
19,556,13.0,3.5,10.0,6.5
20,557,1.5,4.5,2.5,3.5
21,580,3.0,1.5,1.5,3.0
22,596,0.0,0.0,0.0,0.0
23,597,13.0,7.0,15.0,5.0
24,664,11.0,11.0,9.5,12.5
25,712,9.0,3.0,0.0,12.0
26,1212,8.0,5.333333333333333,8.0,5.333333333333333
27,1306,13.0,11.0,11.0,13.0
28,1308,9.5,3.5,3.5,9.5
29,1325,1.0,0.0,0.0,1.0
30,1381,4.5,5.0,2.0,7.5
31,1385,1.0,0.0,1.0,0.0
32,1388,16.0,12.0,12.0,16.0
33,1399,20.0,7.0,19.0,8.0
34,1432,0.0,1.0,0.0,1.0
35,1657,14.0,8.0,8.0,14.0
36,1715,1.0,0.0,0.0,1.0
37,1918,2.0,1.0,0.0,3.0
38,1961,16.0,8.0,2.0,22.0
39,1964,3.0,3.0,1.0,5.0
40,1999,11.0,6.0,0.0,17.0
41,2036,9.0,8.0,0.0,17.0
42,2107,5.5,6.0,7.5,4.0
43,2163,1.0,1.5,0.0,2.5
44,2210,4.333333333333333,2.6666666666666665,1.3333333333333333,5.666666666666667
45,2225,6.5,1.5,6.5,1.5
46,2346,18.0,3.0,10.0,11.0
47,2371,3.0,0.0,0.0,3.0
48,2377,19.0,7.0,8.0,18.0
49,2384,5.5,2.0,4.0,3.5
50,2390,1.0,0.0,0.0,1.0
51,2391,0.0,1.0,0.0,1.0
52,2446,2.0,1.0,0.0,3.0
53,2458,5.0,1.0,0.0,6.0
54,2504,3.0,1.0,3.0,1.0
55,2527,1.0,0.0,0.0,1.0
56,2531,1.0,1.0,1.0,1.0
57,2536,9.0,1.0,0.0,10.0
58,2565,2.0,1.0,0.0,3.0
59,2572,7.0,3.5,8.0,2.5
60,2601,2.0,0.0,0.0,2.0
61,2604,3.0,1.0,1.0,3.0
62,2642,3.0,0.0,0.0,3.0
63,2701,1.5,1.0,0.0,2.5
64,2734,1.0,3.0,0.0,4.0
65,2737,1.0,0.5,0.0,1.5
66,2813,0.0,1.0,0.0,1.0
67,2831,0.0,1.0,0.0,1.0
68,2972,0.0,0.5,0.0,0.5
69,3106,0.0,1.0,0.0,1.0
